Variable,Type,Missing_Count,Missing_Pct
country_code,object,0,0.0
country,object,0,0.0
year,int64,0,0.0
gva_industry_meur,float64,0,0.0
gva_manufacturing_meur,float64,0,0.0
gva_total_meur,float64,0,0.0
industry_share_pct,float64,0,0.0
manufacturing_share_pct,float64,0,0.0
industry_yoy_growth_pct,float64,6,6.7
ppi_index_2015,float64,0,0.0
ppi_inflation_pct,float64,6,6.7
carbon_price_eur_tonne,float64,0,0.0
ets_phase,int64,0,0.0
msr_active,int64,0,0.0
high_price_regime,int64,0,0.0
price_regime,object,0,0.0
total_ghg_mt_co2eq,int64,0,0.0
emissions_yoy_pct,float64,6,6.7
reduction_from_2010_pct,float64,0,0.0
verified_emissions_mt,int64,0,0.0
free_allocation_ratio_pct,int64,0,0.0
free_allowances_mt,float64,0,0.0
net_purchase_required_mt,float64,0,0.0
carbon_intensity_gco2_kwh,int64,0,0.0
carbon_intensity_t_per_meur,float64,0,0.0
effective_carbon_cost_meur,float64,0,0.0
carbon_cost_burden_pct,float64,0,0.0
gva_industry_real_meur,float64,0,0.0
gva_total_real_meur,float64,0,0.0
industry_growth_pct,float64,6,6.7
gdp_growth_pct,float64,6,6.7
decoupling_index,float64,6,6.7
covid_period,int64,0,0.0
energy_crisis,int64,0,0.0
ets_phase_3,int64,0,0.0
ets_phase_4,int64,0,0.0
carbon_price_lag1,float64,6,6.7
carbon_price_lag2,float64,12,13.3
ln_gva_industry,float64,0,0.0
ln_gva_total,float64,0,0.0
ln_carbon_price,float64,0,0.0
ln_emissions,float64,0,0.0
