country_code,country,year,verified_emissions_mt,free_allocation_ratio_pct,free_allowances_mt,net_purchase_required_mt
DE,Germany,2010,453,105,475.65,0.0
DE,Germany,2011,450,103,463.5,0.0
DE,Germany,2012,452,98,442.96,9.04
DE,Germany,2013,481,85,408.85,72.15
DE,Germany,2014,461,82,378.02,82.98
DE,Germany,2015,456,80,364.8,91.2
DE,Germany,2016,453,78,353.34,99.66
DE,Germany,2017,438,75,328.5,109.5
DE,Germany,2018,422,72,303.84,118.16
DE,Germany,2019,364,70,254.8,109.2
DE,Germany,2020,320,68,217.6,102.4
DE,Germany,2021,355,65,230.75,124.25
DE,Germany,2022,345,60,207.0,138.0
DE,Germany,2023,310,55,170.5,139.5
DE,Germany,2024,295,50,147.5,147.5
ES,Spain,2010,138,105,144.9,0.0
ES,Spain,2011,141,102,143.82,0.0
ES,Spain,2012,136,98,133.28,2.72
ES,Spain,2013,117,92,107.64,9.36
ES,Spain,2014,122,88,107.36,14.64
ES,Spain,2015,131,85,111.35,19.65
ES,Spain,2016,123,82,100.86,22.14
ES,Spain,2017,135,80,108.0,27.0
ES,Spain,2018,132,78,102.96,29.04
ES,Spain,2019,112,75,84.0,28.0
ES,Spain,2020,89,72,64.08,24.92
ES,Spain,2021,103,68,70.04,32.96
ES,Spain,2022,105,62,65.1,39.9
ES,Spain,2023,92,58,53.36,38.64
ES,Spain,2024,85,52,44.2,40.8
FR,France,2010,131,108,141.48,0.0
FR,France,2011,120,106,127.2,0.0
FR,France,2012,117,100,117.0,0.0
FR,France,2013,118,90,106.2,11.8
FR,France,2014,108,88,95.04,12.96
FR,France,2015,105,85,89.25,15.75
FR,France,2016,102,82,83.64,18.36
FR,France,2017,103,80,82.4,20.6
FR,France,2018,102,78,79.56,22.44
FR,France,2019,95,75,71.25,23.75
FR,France,2020,80,72,57.6,22.4
FR,France,2021,90,68,61.2,28.8
FR,France,2022,88,62,54.56,33.44
FR,France,2023,82,58,47.56,34.44
FR,France,2024,78,52,40.56,37.44
IT,Italy,2010,191,102,194.82,0.0
IT,Italy,2011,185,100,185.0,0.0
IT,Italy,2012,168,95,159.6,8.4
IT,Italy,2013,155,88,136.4,18.6
IT,Italy,2014,142,85,120.7,21.3
IT,Italy,2015,152,82,124.64,27.36
IT,Italy,2016,151,80,120.8,30.2
IT,Italy,2017,152,78,118.56,33.44
IT,Italy,2018,149,75,111.75,37.25
IT,Italy,2019,140,72,100.8,39.2
IT,Italy,2020,120,70,84.0,36.0
IT,Italy,2021,135,65,87.75,47.25
IT,Italy,2022,138,60,82.8,55.2
IT,Italy,2023,125,55,68.75,56.25
IT,Italy,2024,118,50,59.0,59.0
NL,Netherlands,2010,80,100,80.0,0.0
NL,Netherlands,2011,79,98,77.42,1.58
NL,Netherlands,2012,78,95,74.1,3.9
NL,Netherlands,2013,82,88,72.16,9.84
NL,Netherlands,2014,77,85,65.45,11.55
NL,Netherlands,2015,84,82,68.88,15.12
NL,Netherlands,2016,85,80,68.0,17.0
NL,Netherlands,2017,84,78,65.52,18.48
NL,Netherlands,2018,81,75,60.75,20.25
NL,Netherlands,2019,75,72,54.0,21.0
NL,Netherlands,2020,65,70,45.5,19.5
NL,Netherlands,2021,70,65,45.5,24.5
NL,Netherlands,2022,66,60,39.6,26.4
NL,Netherlands,2023,58,55,31.9,26.1
NL,Netherlands,2024,54,50,27.0,27.0
PL,Poland,2010,198,110,217.8,0.0
PL,Poland,2011,199,108,214.92,0.0
PL,Poland,2012,193,102,196.86,0.0
PL,Poland,2013,195,95,185.25,9.75
PL,Poland,2014,188,92,172.96,15.04
PL,Poland,2015,189,90,170.1,18.9
PL,Poland,2016,199,88,175.12,23.88
PL,Poland,2017,206,85,175.1,30.9
PL,Poland,2018,207,82,169.74,37.26
PL,Poland,2019,193,78,150.54,42.46
PL,Poland,2020,175,75,131.25,43.75
PL,Poland,2021,193,70,135.1,57.9
PL,Poland,2022,181,65,117.65,63.35
PL,Poland,2023,158,60,94.8,63.2
PL,Poland,2024,148,55,81.4,66.6
