year,carbon_price_eur_tonne,price_volatility_std,ets_phase,msr_active,high_price_regime,price_yoy_change_pct,price_regime
2010,14.32,3.2,2,0,0,,Medium (€10-50)
2011,13.82,2.8,2,0,0,-3.49,Medium (€10-50)
2012,7.34,2.1,2,0,0,-46.89,Low (<€10)
2013,4.46,1.2,3,0,0,-39.24,Low (<€10)
2014,5.96,1.4,3,0,0,33.63,Low (<€10)
2015,7.68,1.6,3,0,0,28.86,Low (<€10)
2016,5.35,1.1,3,0,0,-30.34,Low (<€10)
2017,5.83,1.3,3,0,0,8.97,Low (<€10)
2018,15.83,5.2,3,0,0,171.53,Medium (€10-50)
2019,24.84,4.8,3,1,0,56.92,Medium (€10-50)
2020,24.75,6.1,3,1,0,-0.36,Medium (€10-50)
2021,53.31,15.3,4,1,1,115.39,High (>€50)
2022,80.32,18.7,4,1,1,50.67,High (>€50)
2023,83.66,12.4,4,1,1,4.16,High (>€50)
2024,63.5,10.2,4,1,1,-24.1,High (>€50)
