country_code,country,year,gva_industry_meur,gva_manufacturing_meur,gva_total_meur,industry_share_pct,manufacturing_share_pct,industry_yoy_growth_pct
DE,Germany,2010,617890.8,544972.8,2534283.9,24.38,21.5,
DE,Germany,2011,650943.3,594104.7,2629245.3,24.76,22.6,5.349246177479894
DE,Germany,2012,653401.7,583777.2,2642528.6,24.73,22.09,0.3776673022058752
DE,Germany,2013,645616.6,583471.7,2654681.4,24.32,21.98,-1.1914722597140437
DE,Germany,2014,675869.3,615920.7,2714315.0,24.9,22.69,4.685861546930492
DE,Germany,2015,684747.0,621665.0,2753317.0,24.87,22.58,1.3135231915401224
DE,Germany,2016,711585.1,645864.3,2816907.3,25.26,22.93,3.919418412932063
DE,Germany,2017,736715.9,667252.5,2898585.4,25.42,23.02,3.531664729910733
DE,Germany,2018,744159.6,675624.5,2933913.3,25.36,23.03,1.0103894866392737
DE,Germany,2019,737467.1,666152.6,2953979.6,24.97,22.55,-0.8993366476761189
DE,Germany,2020,682903.2,611093.1,2826233.8,24.16,21.62,-7.398824978090557
DE,Germany,2021,726677.2,666824.8,2940978.9,24.71,22.67,6.409986071232354
DE,Germany,2022,725516.3,680146.6,3004851.8,24.14,22.63,-0.1597545650255605
DE,Germany,2023,710765.6,669330.3,2988742.3,23.78,22.4,-2.033131440327396
DE,Germany,2024,682288.5,640670.0,2971502.3,22.96,21.56,-4.006538864570819
ES,Spain,2010,166319.2,121248.1,986079.7,16.87,12.3,
ES,Spain,2011,165662.0,119802.7,983599.8,16.84,12.18,-0.39514379578545755
ES,Spain,2012,157022.0,112944.5,956183.5,16.42,11.81,-5.215438664268213
ES,Spain,2013,150330.5,111520.0,943978.9,15.93,11.81,-4.261504757295153
ES,Spain,2014,152466.9,113942.3,954184.5,15.98,11.94,1.4211354315990299
ES,Spain,2015,157662.0,119732.0,987936.0,15.96,12.12,3.4073625160608634
ES,Spain,2016,163266.2,121722.0,1014168.6,16.1,12.0,3.554566097093792
ES,Spain,2017,170766.5,130000.2,1044848.8,16.34,12.44,4.593908598350427
ES,Spain,2018,170927.7,128533.9,1070485.3,15.97,12.01,0.09439790591245778
ES,Spain,2019,174100.8,129335.9,1092668.9,15.93,11.84,1.8563989335841802
ES,Spain,2020,155929.0,111060.5,973957.2,16.01,11.4,-10.437516657017076
ES,Spain,2021,164986.8,126509.5,1035148.6,15.94,12.22,5.808925857281189
ES,Spain,2022,170817.0,134735.1,1106683.6,15.44,12.17,3.5337372444341097
ES,Spain,2023,167793.7,135606.9,1135754.0,14.77,11.94,-1.7699058056282357
ES,Spain,2024,170966.8,139154.6,1180136.3,14.49,11.79,1.8910721916257645
FR,France,2010,258461.5,216115.5,1851181.3,13.96,11.67,
FR,France,2011,266312.0,224381.0,1898098.9,14.03,11.82,3.037396285326821
FR,France,2012,266494.8,222653.9,1905633.7,13.98,11.68,0.068641292919569
FR,France,2013,269083.8,223214.8,1921344.7,14.0,11.62,0.9715011324798795
FR,France,2014,270982.3,226376.0,1944394.1,13.94,11.64,0.7055422883131657
FR,France,2015,271001.1,227182.7,1960327.3,13.82,11.59,0.006937722500688359
FR,France,2016,270293.8,228222.0,1973652.0,13.7,11.56,-0.26099525057278194
FR,France,2017,272869.7,232847.5,2012239.0,13.56,11.57,0.9530000318172416
FR,France,2018,279379.7,237183.5,2044894.0,13.66,11.6,2.3857540796944576
FR,France,2019,283920.7,241753.8,2087958.1,13.6,11.58,1.6253865259358458
FR,France,2020,259120.4,220222.1,1935601.4,13.39,11.38,-8.73493901642255
FR,France,2021,276278.3,239234.6,2062245.5,13.4,11.6,6.62159366842594
FR,France,2022,250153.0,230322.9,2123579.3,11.78,10.85,-9.456153451067273
FR,France,2023,269721.4,236727.0,2165946.5,12.45,10.93,7.822572585577636
FR,France,2024,279194.4,242221.6,2199240.1,12.7,11.01,3.512142529291329
IT,Italy,2010,282850.0,239144.3,1520876.9,18.6,15.72,
IT,Italy,2011,287237.6,243840.8,1532774.8,18.74,15.91,1.5512108891638565
IT,Italy,2012,276600.7,234170.5,1489492.4,18.57,15.72,-3.7031711725762806
IT,Italy,2013,272557.2,231882.7,1467058.7,18.58,15.81,-1.46185457954372
IT,Italy,2014,270217.9,231426.5,1466038.3,18.43,15.79,-0.8582785558407524
IT,Italy,2015,274001.5,237222.4,1479703.7,18.52,16.03,1.4002033173968087
IT,Italy,2016,281340.4,242021.8,1499932.2,18.76,16.14,2.6784159940730357
IT,Italy,2017,291208.6,250900.2,1527570.2,19.06,16.42,3.5075659236995405
IT,Italy,2018,294969.4,253478.2,1542715.8,19.12,16.43,1.2914453762698175
IT,Italy,2019,295610.1,253869.9,1553556.2,19.03,16.34,0.2172089715068548
IT,Italy,2020,259968.0,219066.2,1424636.7,18.25,15.38,-12.057132012742455
IT,Italy,2021,297953.5,253297.3,1552357.9,19.19,16.32,14.611606043820768
IT,Italy,2022,297832.3,260009.3,1629040.0,18.28,15.96,-0.04067748826579454
IT,Italy,2023,295617.4,258585.7,1644887.8,17.97,15.72,-0.7436735370878078
IT,Italy,2024,295702.2,256836.2,1655895.7,17.86,15.51,0.028685726888877383
NL,Netherlands,2010,95552.8,65970.9,595366.8,16.05,11.08,
NL,Netherlands,2011,97502.6,69306.3,607993.8,16.04,11.4,2.040547215780175
NL,Netherlands,2012,96989.3,68974.8,603486.3,16.07,11.43,-0.5264474998615487
NL,Netherlands,2013,98736.9,68664.4,605716.6,16.3,11.34,1.8018482451156892
NL,Netherlands,2014,97148.6,70111.2,615732.9,15.78,11.39,-1.6086184597652875
NL,Netherlands,2015,95632.0,70958.0,627626.0,15.24,11.31,-1.5611135929905373
NL,Netherlands,2016,96605.0,72959.0,641713.0,15.05,11.37,1.017441860465107
NL,Netherlands,2017,100966.0,78068.3,659593.6,15.31,11.84,4.514259096320061
NL,Netherlands,2018,103799.7,81853.7,674181.7,15.4,12.14,2.806588356476425
NL,Netherlands,2019,103855.7,82781.2,690299.4,15.05,11.99,0.053950059585905485
NL,Netherlands,2020,101336.7,81263.8,662526.2,15.3,12.27,-2.4254807391409394
NL,Netherlands,2021,110310.9,90433.8,706817.9,15.61,12.79,8.85582419794606
NL,Netherlands,2022,114053.0,94865.6,746961.3,15.27,12.7,3.39232115774597
NL,Netherlands,2023,108051.6,93275.2,742804.2,14.55,12.56,-5.261939624560508
NL,Netherlands,2024,107367.3,92322.6,750946.9,14.3,12.29,-0.6333085303688257
PL,Poland,2010,84240.0,61076.6,329714.2,25.55,18.52,
PL,Poland,2011,89209.3,64461.7,346844.4,25.72,18.59,5.898979107312452
PL,Poland,2012,91621.7,66267.1,351499.0,26.07,18.85,2.7042023645516666
PL,Poland,2013,89717.6,63819.4,353633.3,25.37,18.05,-2.0782194611101867
PL,Poland,2014,96050.8,71302.9,367177.6,26.16,19.42,7.059038583288002
PL,Poland,2015,100191.4,76417.4,383948.8,26.09,19.9,4.31084384513194
PL,Poland,2016,104738.0,80483.5,395074.5,26.51,20.37,4.537914431777579
PL,Poland,2017,106686.9,81974.0,414860.0,25.72,19.76,1.8607382229945069
PL,Poland,2018,111949.0,86631.3,440755.1,25.4,19.66,4.932283157538553
PL,Poland,2019,117387.9,92157.6,460502.5,25.49,20.01,4.858373009138095
PL,Poland,2020,113277.8,87018.0,451014.9,25.12,19.29,-3.50129783393347
PL,Poland,2021,114509.6,86330.0,480914.1,23.81,17.95,1.0874151863825121
PL,Poland,2022,123039.3,96985.4,507152.5,24.26,19.12,7.448895114470755
PL,Poland,2023,122070.8,101696.3,513764.9,23.76,19.79,-0.7871468709591212
PL,Poland,2024,123142.1,102469.2,524407.4,23.48,19.54,0.8776054551948631
