DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1991,548849.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1992,534371.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1993,495651.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1994,506167.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1995,506099.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1996,494763.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1997,510060.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1998,515591.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,1999,519757.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2000,549600.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2001,553288.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2002,540791.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2003,544273.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2004,566877.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2005,573638.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2006,609354.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2007,637285.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2008,628817.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2009,525698.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2010,617890.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2011,650943.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2012,653401.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2013,645616.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2014,675869.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2015,684747.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2016,711585.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2017,736715.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2018,744159.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2019,737467.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2020,682903.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2021,726677.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2022,725516.3,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2023,710765.6,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2024,682288.5,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,DE,2025,675391.2,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,1995,131582.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,1996,135379.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,1997,142493.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,1998,149079.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,1999,156361.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2000,164199.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2001,169624.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2002,170252.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2003,173439.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2004,174680.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2005,176865.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2006,180275.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2007,182081.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2008,179743.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2009,160831.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2010,166319.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2011,165662.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2012,157022.0,,
