country_code,country,year,ppi_index_2015,ppi_inflation_pct
DE,Germany,2010,92.3,
DE,Germany,2011,97.5,5.633802816901401
DE,Germany,2012,99.2,1.7435897435897463
DE,Germany,2013,99.0,-0.20161290322581182
DE,Germany,2014,98.5,-0.5050505050505083
DE,Germany,2015,100.0,1.522842639593902
DE,Germany,2016,97.8,-2.200000000000002
DE,Germany,2017,100.3,2.556237218813906
DE,Germany,2018,103.1,2.791625124626118
DE,Germany,2019,103.8,0.678952473326877
DE,Germany,2020,101.9,-1.8304431599229232
DE,Germany,2021,110.3,8.243375858684976
DE,Germany,2022,133.5,21.033544877606538
DE,Germany,2023,138.2,3.5205992509363293
DE,Germany,2024,135.6,-1.8813314037626538
ES,Spain,2010,91.8,
ES,Spain,2011,97.2,5.882352941176472
ES,Spain,2012,99.4,2.263374485596703
ES,Spain,2013,99.1,-0.3018108651911544
ES,Spain,2014,98.3,-0.8072653884964698
ES,Spain,2015,100.0,1.729399796541209
ES,Spain,2016,96.2,-3.7999999999999923
ES,Spain,2017,100.5,4.469854469854462
ES,Spain,2018,104.1,3.5820895522387985
ES,Spain,2019,103.2,-0.8645533141210304
ES,Spain,2020,99.5,-3.5852713178294637
ES,Spain,2021,113.8,14.371859296482414
ES,Spain,2022,142.5,25.21968365553604
ES,Spain,2023,139.8,-1.8947368421052602
ES,Spain,2024,136.2,-2.575107296137358
FR,France,2010,93.1,
FR,France,2011,97.8,5.0483351235230955
FR,France,2012,99.8,2.0449897750511203
FR,France,2013,99.6,-0.2004008016032066
FR,France,2014,98.8,-0.8032128514056214
FR,France,2015,100.0,1.2145748987854255
FR,France,2016,97.2,-2.8000000000000025
FR,France,2017,99.1,1.9547325102880597
FR,France,2018,102.8,3.733602421796167
FR,France,2019,102.5,-0.29182879377431803
FR,France,2020,100.6,-1.8536585365853675
FR,France,2021,108.2,7.5546719681908625
FR,France,2022,127.8,18.114602587800356
FR,France,2023,131.4,2.8169014084507005
FR,France,2024,129.1,-1.7503805175038134
IT,Italy,2010,90.5,
IT,Italy,2011,95.4,5.414364640883984
IT,Italy,2012,98.2,2.9350104821803003
IT,Italy,2013,98.0,-0.20366598778004397
IT,Italy,2014,97.2,-0.8163265306122436
IT,Italy,2015,100.0,2.8806584362139898
IT,Italy,2016,96.5,-3.500000000000003
IT,Italy,2017,99.2,2.797927461139893
IT,Italy,2018,103.5,4.3346774193548265
IT,Italy,2019,103.1,-0.38647342995169476
IT,Italy,2020,100.2,-2.812803103782724
IT,Italy,2021,111.5,11.277445109780437
IT,Italy,2022,140.8,26.27802690582961
IT,Italy,2023,143.2,1.7045454545454364
IT,Italy,2024,138.7,-3.142458100558665
NL,Netherlands,2010,91.5,
NL,Netherlands,2011,96.8,5.792349726775958
NL,Netherlands,2012,99.1,2.3760330578512345
NL,Netherlands,2013,98.5,-0.6054490413723412
NL,Netherlands,2014,97.8,-0.7106598984771617
NL,Netherlands,2015,100.0,2.249488752556239
NL,Netherlands,2016,94.8,-5.200000000000005
NL,Netherlands,2017,99.5,4.957805907173007
NL,Netherlands,2018,105.2,5.728643216080398
NL,Netherlands,2019,104.8,-0.38022813688213253
NL,Netherlands,2020,99.8,-4.770992366412219
NL,Netherlands,2021,114.2,14.428857715430876
NL,Netherlands,2022,152.3,33.362521891418574
NL,Netherlands,2023,148.5,-2.4950755088640864
NL,Netherlands,2024,142.8,-3.83838383838383
PL,Poland,2010,88.2,
PL,Poland,2011,94.6,7.256235827664392
PL,Poland,2012,97.3,2.854122621564481
PL,Poland,2013,96.9,-0.41109969167522076
PL,Poland,2014,96.1,-0.8255933952528549
PL,Poland,2015,100.0,4.058272632674309
PL,Poland,2016,97.1,-2.9000000000000026
PL,Poland,2017,100.8,3.810504634397538
PL,Poland,2018,104.2,3.3730158730158832
PL,Poland,2019,105.1,0.8637236084452882
PL,Poland,2020,102.8,-2.1883920076117946
PL,Poland,2021,115.3,12.159533073929962
PL,Poland,2022,145.6,26.279271465741537
PL,Poland,2023,152.1,4.464285714285721
PL,Poland,2024,149.3,-1.8408941485864472
