country_code,country,year,total_ghg_mt_co2eq,emissions_yoy_pct,reduction_from_2010_pct
DE,Germany,2010,941,,0.0
DE,Germany,2011,928,-1.381509032943673,-1.38
DE,Germany,2012,928,0.0,-1.38
DE,Germany,2013,948,2.155172413793105,0.74
DE,Germany,2014,905,-4.535864978902948,-3.83
DE,Germany,2015,906,0.11049723756906271,-3.72
DE,Germany,2016,909,0.3311258278145601,-3.4
DE,Germany,2017,904,-0.5500550055005493,-3.93
DE,Germany,2018,865,-4.314159292035402,-8.08
DE,Germany,2019,809,-6.473988439306355,-14.03
DE,Germany,2020,739,-8.652657601977754,-21.47
DE,Germany,2021,762,3.11231393775373,-19.02
DE,Germany,2022,746,-2.099737532808399,-20.72
DE,Germany,2023,674,-9.651474530831095,-28.37
DE,Germany,2024,656,-2.670623145400597,-30.29
ES,Spain,2010,355,,0.0
ES,Spain,2011,355,0.0,0.0
ES,Spain,2012,343,-3.3802816901408406,-3.38
ES,Spain,2013,323,-5.8309037900874605,-9.01
ES,Spain,2014,324,0.3095975232198178,-8.73
ES,Spain,2015,338,4.320987654320985,-4.79
ES,Spain,2016,325,-3.8461538461538436,-8.45
ES,Spain,2017,340,4.615384615384621,-4.23
ES,Spain,2018,333,-2.0588235294117685,-6.2
ES,Spain,2019,313,-6.006006006006004,-11.83
ES,Spain,2020,272,-13.09904153354633,-23.38
ES,Spain,2021,289,6.25,-18.59
ES,Spain,2022,299,3.460207612456756,-15.77
ES,Spain,2023,275,-8.026755852842804,-22.54
ES,Spain,2024,262,-4.727272727272725,-26.2
FR,France,2010,512,,0.0
FR,France,2011,489,-4.4921875,-4.49
FR,France,2012,490,0.2044989775051187,-4.3
FR,France,2013,492,0.40816326530612734,-3.91
FR,France,2014,460,-6.504065040650408,-10.16
FR,France,2015,464,0.8695652173912993,-9.38
FR,France,2016,463,-0.21551724137931494,-9.57
FR,France,2017,466,0.647948164146861,-8.98
FR,France,2018,453,-2.7896995708154515,-11.52
FR,France,2019,441,-2.6490066225165587,-13.87
FR,France,2020,396,-10.204081632653061,-22.66
FR,France,2021,418,5.555555555555558,-18.36
FR,France,2022,408,-2.392344497607657,-20.31
FR,France,2023,385,-5.6372549019607865,-24.8
FR,France,2024,373,-3.116883116883118,-27.15
IT,Italy,2010,501,,0.0
IT,Italy,2011,489,-2.39520958083832,-2.4
IT,Italy,2012,464,-5.112474437627812,-7.39
IT,Italy,2013,437,-5.818965517241381,-12.77
IT,Italy,2014,418,-4.347826086956519,-16.57
IT,Italy,2015,433,3.5885167464114742,-13.57
IT,Italy,2016,428,-1.1547344110854452,-14.57
IT,Italy,2017,428,0.0,-14.57
IT,Italy,2018,418,-2.336448598130836,-16.57
IT,Italy,2019,408,-2.392344497607657,-18.56
IT,Italy,2020,381,-6.617647058823528,-23.95
IT,Italy,2021,402,5.5118110236220375,-19.76
IT,Italy,2022,398,-0.995024875621886,-20.56
IT,Italy,2023,378,-5.025125628140703,-24.55
IT,Italy,2024,369,-2.3809523809523836,-26.35
NL,Netherlands,2010,210,,0.0
NL,Netherlands,2011,198,-5.714285714285716,-5.71
NL,Netherlands,2012,193,-2.5252525252525304,-8.1
NL,Netherlands,2013,193,0.0,-8.1
NL,Netherlands,2014,184,-4.6632124352331665,-12.38
NL,Netherlands,2015,195,5.978260869565211,-7.14
NL,Netherlands,2016,195,0.0,-7.14
NL,Netherlands,2017,193,-1.025641025641022,-8.1
NL,Netherlands,2018,189,-2.072538860103623,-10.0
NL,Netherlands,2019,180,-4.761904761904767,-14.29
NL,Netherlands,2020,164,-8.888888888888891,-21.9
NL,Netherlands,2021,169,3.0487804878048808,-19.52
NL,Netherlands,2022,162,-4.142011834319526,-22.86
NL,Netherlands,2023,150,-7.4074074074074066,-28.57
NL,Netherlands,2024,144,-4.0000000000000036,-31.43
PL,Poland,2010,400,,0.0
PL,Poland,2011,399,-0.24999999999999467,-0.25
PL,Poland,2012,390,-2.2556390977443663,-2.5
PL,Poland,2013,386,-1.025641025641022,-3.5
PL,Poland,2014,378,-2.072538860103623,-5.5
PL,Poland,2015,381,0.7936507936507908,-4.75
PL,Poland,2016,396,3.937007874015741,-1.0
PL,Poland,2017,412,4.040404040404044,3.0
PL,Poland,2018,414,0.4854368932038833,3.5
PL,Poland,2019,396,-4.347826086956519,-1.0
PL,Poland,2020,374,-5.555555555555558,-6.5
PL,Poland,2021,399,6.68449197860963,-0.25
PL,Poland,2022,383,-4.010025062656641,-4.25
PL,Poland,2023,355,-7.310704960835512,-11.25
PL,Poland,2024,342,-3.6619718309859106,-14.5
