country_code,country,year,carbon_intensity_gco2_kwh
DE,Germany,2010,461
DE,Germany,2011,468
DE,Germany,2012,484
DE,Germany,2013,489
DE,Germany,2014,471
DE,Germany,2015,468
DE,Germany,2016,453
DE,Germany,2017,436
DE,Germany,2018,422
DE,Germany,2019,369
DE,Germany,2020,311
DE,Germany,2021,349
DE,Germany,2022,385
DE,Germany,2023,310
DE,Germany,2024,285
ES,Spain,2010,238
ES,Spain,2011,302
ES,Spain,2012,352
ES,Spain,2013,269
ES,Spain,2014,263
ES,Spain,2015,302
ES,Spain,2016,265
ES,Spain,2017,308
ES,Spain,2018,264
ES,Spain,2019,210
ES,Spain,2020,157
ES,Spain,2021,188
ES,Spain,2022,195
ES,Spain,2023,122
ES,Spain,2024,108
FR,France,2010,79
FR,France,2011,63
FR,France,2012,58
FR,France,2013,52
FR,France,2014,34
FR,France,2015,45
FR,France,2016,58
FR,France,2017,68
FR,France,2018,53
FR,France,2019,56
FR,France,2020,52
FR,France,2021,56
FR,France,2022,85
FR,France,2023,54
FR,France,2024,48
IT,Italy,2010,395
IT,Italy,2011,386
IT,Italy,2012,389
IT,Italy,2013,345
IT,Italy,2014,321
IT,Italy,2015,336
IT,Italy,2016,330
IT,Italy,2017,328
IT,Italy,2018,301
IT,Italy,2019,283
IT,Italy,2020,259
IT,Italy,2021,285
IT,Italy,2022,342
IT,Italy,2023,268
IT,Italy,2024,245
NL,Netherlands,2010,416
NL,Netherlands,2011,409
NL,Netherlands,2012,419
NL,Netherlands,2013,439
NL,Netherlands,2014,426
NL,Netherlands,2015,450
NL,Netherlands,2016,443
NL,Netherlands,2017,436
NL,Netherlands,2018,410
NL,Netherlands,2019,365
NL,Netherlands,2020,328
NL,Netherlands,2021,341
NL,Netherlands,2022,345
NL,Netherlands,2023,298
NL,Netherlands,2024,275
PL,Poland,2010,773
PL,Poland,2011,772
PL,Poland,2012,761
PL,Poland,2013,762
PL,Poland,2014,744
PL,Poland,2015,756
PL,Poland,2016,773
PL,Poland,2017,763
PL,Poland,2018,741
PL,Poland,2019,708
PL,Poland,2020,658
PL,Poland,2021,696
PL,Poland,2022,712
PL,Poland,2023,621
PL,Poland,2024,580
